日期              时间       飞机地址           纬度                  经度                      高度 地速 航向    航班号 爬升率 识别代码
2017-10-10 13:3:38 780342 39.127453565597534 117.3470413684845 0.00 11.87 207.74 AMU237 0.0 null
2017-10-10 13:3:39 780342 39.127421379089355 117.347132563591 0.00 11.87 201.75 AMU237 0.0 null
2017-10-10 13:3:39 780342 39.12738382816315 117.34714865684509 0.00 11.87 201.75 AMU237 0.0 null
2017-10-10 13:3:39 780342 39.12723362445831 117.34718084335327 0.00 11.87 193.75 AMU237 0.0 null
2017-10-10 13:3:40 780342 39.12714242935181 117.34718084335327 0.00 11.87 193.75 AMU237 0.0 null
2017-10-10 13:3:40 780342 39.126965403556824 117.34716475009918 0.00 11.87 193.75 AMU237 0.0 null
2017-10-10 13:3:41 780342 39.12709414958954 117.34710574150085 0.00 12.96 184.77 AMU237 0.0 null
2017-10-10 13:3:41 780342 39.127196073532104 117.34705746173859 0.00 12.96 179.77 AMU237 0.0 null
2017-10-10 13:3:42 780342 39.12723898887634 117.3470413684845 0.00 12.96 179.77 AMU237 0.0 null
2017-10-10 13:3:42 780342 39.127153158187866 117.34705746173859 0.00 12.96 170.78 AMU237 0.0 null
2017-10-10 13:3:43 780342 39.12702441215515 117.34707355499268 0.00 12.96 170.78 AMU237 0.0 null
2017-10-10 13:3:43 780342 39.12702441215515 117.34707355499268 0.00 12.96 170.78 AMU237 0.0 null
2017-10-10 13:3:44 780342 39.126954674720764 117.34710574150085 0.00 12.96 159.80 AMU237 0.0 null
2017-10-10 13:3:44 780342 39.126943945884705 117.34712183475494 0.00 12.96 159.80 AMU237 0.0 null
2017-10-10 13:3:44 780342 39.126954674720764 117.347132563591 0.00 12.96 159.80 AMU237 0.0 null
2017-10-10 13:3:45 780342 39.12702441215515 117.347132563591 0.00 13.84 150.81 AMU237 0.0 null
2017-10-10 13:3:45 780342 39.12707269191742 117.347132563591 0.00 13.84 150.81 AMU237 0.0 null
2017-10-10 13:3:46 780342 39.12675619125366 117.34716475009918 0.00 13.84 145.82 AMU237 0.0 null
2017-10-10 13:3:47 780342 39.12681519985199 117.3473310470581 0.00 13.84 145.82 AMU237 0.0 null
2017-10-10 13:3:47 780342 39.12686884403229 117.34735786914825 0.00 13.84 150.81 AMU237 0.0 null
2017-10-10 13:3:48 780342 39.12689030170441 117.34732568264008 0.00 13.84 150.81 AMU237 0.0 null
2017-10-10 13:3:48 780342 39.12689030170441 117.34732568264008 0.00 13.84 150.81 AMU237 0.0 null
2017-10-10 13:3:49 780342 39.12675619125366 117.34721302986145 0.00 13.84 150.81 AMU237 0.0 null
2017-10-10 13:3:49 780342 39.126654267311096 117.34718084335327 0.00 13.84 150.81 AMU237 0.0 null
2017-10-10 13:3:50 780342 39.12664353847504 117.34721302986145 0.00 13.84 153.81 AMU237 0.0 null
2017-10-10 13:3:50 780342 39.12663817405701 117.34723448753357 0.00 13.84 153.81 AMU237 0.0 null
2017-10-10 13:3:51 780342 39.126707911491394 117.34732031822205 0.00 14.94 153.81 AMU237 0.0 null
2017-10-10 13:3:51 780342 39.126707911491394 117.3473471403122 0.00 14.94 153.81 AMU237 0.0 null
2017-10-10 13:3:51 780342 39.1267454624176 117.34741151332855 0.00 14.94 153.81 AMU237 0.0 null
2017-10-10 13:3:52 780342 39.12655770778656 117.34754025936127 0.00 15.82 153.81 AMU237 0.0 null
2017-10-10 13:3:52 780342 39.12639677524567 117.34766900539398 0.00 15.82 153.81 AMU237 0.0 null
2017-10-10 13:3:53 780342 39.126455783843994 117.34751880168915 0.00 15.82 153.81 AMU237 0.0 null
2017-10-10 13:3:54 780342 39.12650942802429 117.34739542007446 0.00 16.92 153.81 AMU237 0.0 null
